BabyId,FirsttimeParent,Crying date,Crying time,Crying seconds,Feeding date,Feeding time,Bottle amount,PumpingDate,PumpingTimePumpingLeftPumpingRight,Pumping Left,PumpingRight,SleepingDate,SleepingTime,SleepingSecond
HPT2_NR_16,1,08/05/15,20:31:47,900,08/05/15,20:31:47,180,08/05/15,20:31:47,40,30,08/05/15,20:31:47,5153.979043
HPT2_NR_16,1,08/05/15,23:33:46,600,08/05/15,23:33:46,180,08/05/15,23:33:46,50,35,08/05/15,23:33:46,33365.11196
HPT2_NR_16,1,08/06/15,10:20:00,916,08/06/15,10:20:00,180,08/06/15,10:20:00,NA,NA,08/06/15,10:20:00,2100
HPT2_NR_16,1,08/06/15,11:30:00,300,08/06/15,11:30:00,35,08/06/15,11:30:00,NA,NA,08/06/15,11:30:00,1200
HPT2_NR_16,1,08/06/15,12:15:00,600,08/06/15,12:15:00,180,08/06/15,12:15:00,NA,NA,08/06/15,12:15:00,4800
HPT2_NR_16,1,08/06/15,17:45:00,NA,08/06/15,17:45:00,180,08/06/15,17:45:00,NA,NA,08/06/15,17:45:00,2100
HPT2_NR_16,1,08/06/15,19:20:00,NA,08/06/15,19:20:00,180,08/06/15,19:20:00,NA,NA,08/06/15,19:20:00,1500
HPT2_NR_16,1,08/06/15,19:45:00,NA,08/06/15,19:45:00,180,08/06/15,19:45:00,NA,NA,08/06/15,19:45:00,1520
HPT2_NR_16,1,08/06/15,22:30:00,NA,08/06/15,22:30:00,180,08/06/15,22:30:00,NA,NA,08/06/15,22:30:00,4200
HPT2_NR_16,1,08/07/15,0:22:03,NA,08/07/15,0:22:03,180,08/07/15,0:22:03,NA,NA,08/07/15,0:22:03,32249.39401
HPT2_NR_16,1,08/07/15,11:30:00,NA,08/07/15,11:30:00,180,08/07/15,11:30:00,NA,NA,08/07/15,11:30:00,1200
HPT2_NR_16,1,08/07/15,12:15:38,NA,08/07/15,12:15:38,180,08/07/15,12:15:38,NA,NA,08/07/15,12:15:38,2700
HPT2_NR_16,1,08/07/15,15:01:06,NA,08/07/15,15:01:06,180,08/07/15,15:01:06,NA,NA,08/07/15,15:01:06,3601.849699
HPT2_NR_16,1,08/07/15,18:12:21,NA,08/07/15,18:12:21,180,08/07/15,18:12:21,NA,NA,08/07/15,18:12:21,2424.942908
HPT2_NR_16,1,08/07/15,20:56:39,NA,08/07/15,20:56:39,180,08/07/15,20:56:39,NA,NA,08/07/15,20:56:39,2040
HPT2_NR_16,1,08/07/15,23:30:00,NA,08/07/15,23:30:00,180,08/07/15,23:30:00,NA,NA,08/07/15,23:30:00,36000
